症狀,推薦穴位,來源,頁碼
血虛疼痛,,痛證特效一針療法,
諸風掉眩,風池穴,痛證特效一針療法,138
講話費力,,痛證特效一針療法,
足跟痛,靈骨、大陵、足跟點,痛證特效一針療法,81
足跟痛,針灸亦頗有效,痛證特效一針療法,
足跟痛,靈骨、大陵等穴位,痛證特效一針療法,81
足跟痛,建議穴位或對針：足跟點、百會、風池,痛證特效一針療法,116
足跟痛,束骨、五虎五,痛證特效一針療法,66
踝關節扭傷,小節、外關,痛證特效一針療法,169
踝關節扭傷,小節、外關、陽池、委中等穴位,痛證特效一針療法,92
踝部扭傷,外關、陽池,痛證特效一針療法,92
重子痛,重仙,痛證特效一針療法,64
陽虛疼痛,,痛證特效一針療法,
陰虛疼痛,,痛證特效一針療法,
陣發性咳嗽,,痛證特效一針療法,
面部三叉神經分佈區內出現短暫的劇烈疼痛,側三里、三間、大白、後溪、三陰交、四花外、腎關，耳尖、下關、顴膠、四白、人迎、聽宮等,痛證特效一針療法,42
頭痛,手足少陽經的叉三（或液門）、中渚、支溝、臨泣、俠溪諸穴；手足陽明經的大白（或三間）、曲池、內庭、門金（或陷谷）諸穴,痛證特效一針療法,44
頭痛,至陰穴,痛證特效一針療法,49
頭目耳痛，肝膽鬱熱循經上擾清竅之頭目耳病，肋間神經痛、膽囊炎、膽絞痛,丘墟穴,痛證特效一針療法,145
頭面各種變症，如牙痛、咽喉、鼻病等,三間,痛證特效一針療法,42
頭項痛,病在厥陰經。,痛證特效一針療法,
額顱一帶之疼痛,胃經穴位,痛證特效一針療法,
項強,承漿穴,痛證特效一針療法,70
顱內痛,束骨、湧泉,痛證特效一針療法,48
顱內痛,太沖、湧泉,痛證特效一針療法,48
頸椎病,後溪、風市、太沖、至陰、太陽、中渚、三叉三、腎關、太白、三陰交、耳尖、懸鐘、束骨、委中,痛證特效一針療法,46
頸椎病,後溪,痛證特效一針療法,48
頸椎病,後溪、風市配合束骨,痛證特效一針療法,48
頸椎病,委中、人中、承漿,痛證特效一針療法,70
頸椎病,陰谷、崑崙、正筋,痛證特效一針療法,42
頸背強痛,正筋,痛證特效一針療法,66
頸背痛,重仙穴,痛證特效一針療法,64
頸部疼痛,重仙穴,痛證特效一針療法,64
頸部痛,束骨、崑崙,痛證特效一針療法,42
頸部軟組織損傷,重子、重仙、後溪、承漿,痛證特效一針療法,48
頸部軟組織損傷,取正筋穴,痛證特效一針療法,
頸項、肩背沉重，疼痛，如落枕,中渚穴,痛證特效一針療法,65
頸項強痛,"懸鐘, 束骨",痛證特效一針療法,66
頸項強硬,委中,痛證特效一針療法,70
頸項強硬及疼痛,後溪穴,痛證特效一針療法,48
頦部痛,解溪、太溪（腎經夾任）,痛證特效一針療法,168
顛頂痛,肝經穴位,痛證特效一針療法,
顴骨痛,陷谷,痛證特效一針療法,44
風濕性多肌痛,,痛證特效一針療法,
風邪致痛,,痛證特效一針療法,
食痛,,痛證特效一針療法,
飲食不節得病者,取之於合，如足三里、曲池、陰陵泉等合穴,痛證特效一針療法,131
骶尾骨痛,心門、百會、後會,痛證特效一針療法,108
骶尾骨痛,心門、後會、魚際、百會、人中、委中、海豹、後頂穴等,痛證特效一針療法,70
骶尾骨痛,百會、後會穴,痛證特效一針療法,116
骶尾骨痛,人中、委中、海豹、後頂,痛證特效一針療法,70
高爾夫肘,側三里穴，甚效，若加一針患側小腸經之輸穴後溪穴做牽引，痊癒更快。,痛證特效一針療法,86
高血壓頭痛,陽陵泉（肝膽表裡）、曲池（肝與大腸通）等合穴,痛證特效一針療法,131
麻證,牽引針法，選取對側遠處另一端之穴位與同側遠處另一端之穴位形成相互牽引的形態,痛證特效一針療法,
黃疸、便秘等病症,,痛證特效一針療法,
鼠蹊脹痛,靈骨,痛證特效一針療法,81
鼻塞,本穴（未明確指出具體穴位名稱）,痛證特效一針療法,
鼻癤,三間（或大白）、曲池、內庭、門金、三叉三、太沖、少商、木穴,痛證特效一針療法,42
鼻痛,三間、曲池,痛證特效一針療法,42
鼻痛,三叉三穴,痛證特效一針療法,53
鼻痛,少商、木穴,痛證特效一針療法,206
鼻骨痛,陷谷,痛證特效一針療法,44
鼻骨痛,公孫、陰陵泉,痛證特效一針療法,40
齒痛、急性牙髓炎、根尖周炎、冠周炎,合谷,痛證特效一針療法,199
齒痛及牙齒敏感,合谷穴,痛證特效一針療法,199
三叉神經痛,陽陵泉,針灸五輸穴應用發揮,
三叉神經疼痛,陷谷,針灸五輸穴應用發揮,
三叉神經痛,"三間, 後溪",針灸五輸穴應用發揮,
三叉神經痛,少澤（點刺）,針灸五輸穴應用發揮,
三叉神經痛之第二支尤效,後溪,針灸五輸穴應用發揮,
三焦火熱證，上中焦壅熱所導致之五官、咽喉疾患,液門,針灸五輸穴應用發揮,
三焦經實證,天井,針灸五輸穴應用發揮,
三焦經虛證,中渚,針灸五輸穴應用發揮,
上下臂,足經穴,針灸五輸穴應用發揮,
上衝性病症如血壓升高、動脈硬化及失眠,針刺湧泉,針灸五輸穴應用發揮,
上火火熱、體寒陽虛,取滎穴,針灸五輸穴應用發揮,
上焦之病，如實證性的眼病、鼻病等,尺澤,針灸五輸穴應用發揮,
上牙痛,內庭,針灸五輸穴應用發揮,
上肢內側痛,大陵、太淵,針灸五輸穴應用發揮,
上肢神經痛,陽陵泉,針灸五輸穴應用發揮,
下牙痛,二間、三間,針灸五輸穴應用發揮,
下肢痺痛,太沖、太溪,針灸五輸穴應用發揮,
下肢痺痛,崑崙,針灸五輸穴應用發揮,
下顎痛（開口不靈）,行間,針灸五輸穴應用發揮,
下腹病,三陰交,針灸五輸穴應用發揮,
下頷腫痛、肩痛、頸痛、耳聾、上肢外後側痛,"支正, 通裡",針灸五輸穴應用發揮,
不孕,太陰部位視青筋放血,針灸五輸穴應用發揮,
丑時（夜1~3點）發作之疾病,肝經輸穴太沖,針灸五輸穴應用發揮,
丘疹及面部痤瘡,曲池配血海、三明交,針灸五輸穴應用發揮,
兩乳氣痛,太淵,針灸五輸穴應用發揮,
兩手痠疼難執物,曲池合谷共肩鍋,針灸五輸穴應用發揮,
兩脅脹痛,,針灸五輸穴應用發揮,
兩臂頑麻,少海（心）就傍於三裡（大腸）,針灸五輸穴應用發揮,
兩臂頑麻,本穴配手三里,針灸五輸穴應用發揮,
中氣不足之證,商丘,針灸五輸穴應用發揮,
中耳炎、疝氣、不孕症,中封、照海穴一帶,針灸五輸穴應用發揮,
中邪霍亂,陰谷、三里,針灸五輸穴應用發揮,
中邪霍亂（吐瀉）,陰谷配足三里,針灸五輸穴應用發揮,
中風,合谷和太沖（開四關）,針灸五輸穴應用發揮,
中風、小舞蹈病、全身進行性癱瘓、高血壓、血管性頭痛、頭暈目眩、失眠、癲癇、髒躁、奔豚、症性失語、思想不集中、過敏性鼻炎、陰縮,合谷與太沖穴同用,針灸五輸穴應用發揮,
中風昏厥,少商、商陽點刺出血,針灸五輸穴應用發揮,
中風昏厥,商陽,針灸五輸穴應用發揮,
中風昏迷,十二井穴刺血,針灸五輸穴應用發揮,
中風昏迷,勞宮、中衝配人中、內關,針灸五輸穴應用發揮,
中風猝倒,中衝、關衝,針灸五輸穴應用發揮,
中風猝倒,中衝，關衝,針灸五輸穴應用發揮,
中風猝倒、痰涎壅盛、不省人事、卒然昏沉、牙關緊閉、水藥不下之急症,少衝配其他井穴出血,針灸五輸穴應用發揮,
中風猝倒，卒然昏沉，痰涎壅盛，不省人事,心井少衝、小腸井少澤,針灸五輸穴應用發揮,
中風猝倒，痰涎壅盛，不省人事,少商、商陽點刺出血,針灸五輸穴應用發揮,
中風猝倒，痰涎壅盛，不省人事,少衝、少澤,針灸五輸穴應用發揮,
中風要穴，善治頭面之病,少商,針灸五輸穴應用發揮,
中風跌倒，卒暴昏沉痰涎壅盛，不省人事，牙關緊閉，藥水不下,三稜針刺手指十二井穴,針灸五輸穴應用發揮,
中風閉證或高熱驚風等證,十宣,針灸五輸穴應用發揮,
丹毒,視青筋放血,針灸五輸穴應用發揮,
久咳瘧，肘腋拘急，臂酸，胸痛，心胸疾病，婦人陰挺、陰癢、陰痛，男子遺尿偏墜,少府,針灸五輸穴應用發揮,
久年胃病,視青筋放血,針灸五輸穴應用發揮,
九種心痛、瘰病久不愈（患左灸右，患右灸左）,,針灸五輸穴應用發揮,
乳房痛,厲兌、大敦,針灸五輸穴應用發揮,
乳腺炎,厲兌、大敦,針灸五輸穴應用發揮,
二陰（大小便）問題,然谷穴,針灸五輸穴應用發揮,
五十肩,陰陵泉配小腸經之後溪,針灸五輸穴應用發揮,
五十肩,陽陵泉,針灸五輸穴應用發揮,
五十肩（肩關節周圍炎）,尺澤,針灸五輸穴應用發揮,
五官病,二間、液門,針灸五輸穴應用發揮,
五指不便,中渚,針灸五輸穴應用發揮,
五癇,"後溪, 鳩尾及神門",針灸五輸穴應用發揮,
五般癇,湧泉配勞宮,針灸五輸穴應用發揮,
五般腰痛,委中安,針灸五輸穴應用發揮,
產後乳汁不通,針刺湧泉,針灸五輸穴應用發揮,
產後或術後尿瀦留,刺血尤佳，灸本穴（至陰）,針灸五輸穴應用發揮,
產婦血暈休克,足三里,針灸五輸穴應用發揮,
傷風感冒之氣喘及咳嗽,經渠,針灸五輸穴應用發揮,
傷風感冒引起之偏頭痛,陽輔,針灸五輸穴應用發揮,
體重節痛,輸穴,針灸五輸穴應用發揮,
體重節痛,輸穴,針灸五輸穴應用發揮,
體重節痛,輸穴,針灸五輸穴應用發揮,
體重節痛或嘔吐、腹瀉,太淵,針灸五輸穴應用發揮,
體重節痛，重症肌無力，週期性麻痺,脾胃經穴位,針灸五輸穴應用發揮,
便秘,針此穴或點刺本穴,針灸五輸穴應用發揮,
便秘,支溝,針灸五輸穴應用發揮,
便秘：肚痛秘結、大便閉結、大便虛秘,支溝（配大陵、外關；照海；足三里）,針灸五輸穴應用發揮,
倦言嗜臥,通裡、大鐘,針灸五輸穴應用發揮,
偏 headache,商陽、厲兌,針灸五輸穴應用發揮,
偏頭痛,臨泣,針灸五輸穴應用發揮,
偏頭痛,少陽部位視青筋放血,針灸五輸穴應用發揮,
偏頭痛,足臨泣,針灸五輸穴應用發揮,
"偏頭痛, 腰側痛等少陽經之疼痛",臨泣,針灸五輸穴應用發揮,
偏正頭痛,太淵配列缺穴,針灸五輸穴應用發揮,
偏身皮癢,至陰,針灸五輸穴應用發揮,
偏頭痛,陽陵泉,針灸五輸穴應用發揮,
健忘,,針灸五輸穴應用發揮,
傷風感冒之氣喘及咳嗽,經渠,針灸五輸穴應用發揮,
全身關節痛、腋下淋巴結腫,陽輔,針灸五輸穴應用發揮,
兩足痺麻，腳盤痛,內庭,針灸五輸穴應用發揮,
公孫疼痛,魚際,針灸五輸穴應用發揮,
關節屈伸不利之痛痺,太沖,針灸五輸穴應用發揮,
關節痛（髖關節痛、肘痛、肩周炎、大腿痛）,合谷,針灸五輸穴應用發揮,
內壽,太陰部位視青筋放血,針灸五輸穴應用發揮,
內臟下垂，嘔吐喘惡,陰陵泉、足三里合用,針灸五輸穴應用發揮,
冷嗽、慢性咳嗽,合谷、三陰交,針灸五輸穴應用發揮,
冷痺腎敗,小海（配足三里）,針灸五輸穴應用發揮,
減肥,腕骨配梁丘、公孫、關元等穴,針灸五輸穴應用發揮,
利尿治水溼腫滿,陰陵泉,針灸五輸穴應用發揮,
利尿治水溼腫滿,陰陵泉,針灸五輸穴應用發揮,
利尿消腫,足三里,針灸五輸穴應用發揮,
前列腺炎及前列腺增生,點刺至陰,針灸五輸穴應用發揮,
前頭痛,陷谷,針灸五輸穴應用發揮,
前頭痛,商陽、歷兌,針灸五輸穴應用發揮,
前臂及手指痙攣疼痛、胸肋痛、心悸、心煩、心區痛、掌心發熱、喜笑不休,"支正, 通裡",針灸五輸穴應用發揮,
前陰臊臭,少衝配行間,針灸五輸穴應用發揮,
前額痛、項部、下頜及前頸之病變、顏面或目發赤、充血，頭痛，眩暈，癲癇、痛病等,解溪,針灸五輸穴應用發揮,
功能性子宮出血,隱白,針灸五輸穴應用發揮,
功能性腰痛,崑崙,針灸五輸穴應用發揮,
半身不遂,陽陵泉,針灸五輸穴應用發揮,
半身不遂,曲池配陽陵泉,針灸五輸穴應用發揮,
半身不遂,陽陵泉配曲池,針灸五輸穴應用發揮,
半身不遂,陽陵泉,針灸五輸穴應用發揮,
半身不遂之手握不開及前臂痙攣,後溪強刺激,針灸五輸穴應用發揮,
卒中風、暴昏沉、痰塞壅,商陽配太溪,針灸五輸穴應用發揮,
卒心痛，暴脹，胸脅支滿,然谷刺血,針灸五輸穴應用發揮,
單腹脹,行間,針灸五輸穴應用發揮,
厥逆,湧泉,針灸五輸穴應用發揮,
厥陰頭痛,針刺湧泉,針灸五輸穴應用發揮,
發熱,陽穀,針灸五輸穴應用發揮,
發熱,少衝曲澤之津,針灸五輸穴應用發揮,
發熱,尺澤,針灸五輸穴應用發揮,
發熱惡寒,本穴配魚際穴,針灸五輸穴應用發揮,
發熱或愛發脾氣，有旺盛緊張的情況,五行屬火的穴位 或 五行屬水的穴位,針灸五輸穴應用發揮,
發黃,湧泉配至陽,針灸五輸穴應用發揮,
口噤眼合面紅妝，熱血流入心肺府,少商,針灸五輸穴應用發揮,
口乾、口臭及諸瘡痛癢,大陵穴,針灸五輸穴應用發揮,
口乾舌燥,五行屬水的穴位,針灸五輸穴應用發揮,
口瘡齦爛,勞宮,針灸五輸穴應用發揮,
口腔炎,大陵,針灸五輸穴應用發揮,
口腔癌,尺澤及太陽穴放血數次,針灸五輸穴應用發揮,
口臭,大陵,針灸五輸穴應用發揮,
口苦吞酸,陽陵泉,針灸五輸穴應用發揮,
右肘三焦經處（少陽）病痛,,針灸五輸穴應用發揮,
各種厥逆，及各種癇症、小兒驚風,湧泉,針灸五輸穴應用發揮,
各種厥逆，及各種癇症，小兒驚風,腎經井穴湧泉,針灸五輸穴應用發揮,
各類眼病,復溜,針灸五輸穴應用發揮,
各類神經病變而見胃腸功能衰弱者,神門,針灸五輸穴應用發揮,
各類神經病變而見胃腸功能衰弱者,神門,針灸五輸穴應用發揮,
後頭痛,關衝、竅陰,針灸五輸穴應用發揮,
後頭痛,束骨,針灸五輸穴應用發揮,
後頭痛,崑崙、京骨,針灸五輸穴應用發揮,
後頭痛、巔頂痛，及腰痛、頸痛，以及太陽經走向之坐骨神經痛,束骨,針灸五輸穴應用發揮,
後溪部位風溼疼痛,束骨,針灸五輸穴應用發揮,
後腿緊痛,束骨,針灸五輸穴應用發揮,
後頸部強硬,束骨,針灸五輸穴應用發揮,
吐衄,勞宮,針灸五輸穴應用發揮,
呃逆,商陽配合屏息數次，每次30秒左右，重症配足三里留針15~20分鐘,針灸五輸穴應用發揮,
呃逆,合谷,針灸五輸穴應用發揮,
呃逆,陷谷,針灸五輸穴應用發揮,
呃逆,間使配天鼎,針灸五輸穴應用發揮,
嘔吐、心痛,經渠,針灸五輸穴應用發揮,
嘔吐、洩瀉等腎病而有脾胃症狀，五更洩，脾腎陽虛之證,太溪,針灸五輸穴應用發揮,
嘔吐乾噦、噫氣吐酸,勞宮,針灸五輸穴應用發揮,
周身串痛，痛無常處,俠溪配大椎、曲池、三陽絡、足三里,針灸五輸穴應用發揮,
呼吸困難,尺澤,針灸五輸穴應用發揮,
呼吸系統病變,寅時出生的人較易得，相關穴位未明確指定,針灸五輸穴應用發揮,
呼吸系統疾患之發熱咳嗽或心肌炎心悸亢進喘息等心臟病，急慢性腎臟病,針刺湧泉,針灸五輸穴應用發揮,
呼吸系統疾患兼有消化系統衰弱症狀,太淵,針灸五輸穴應用發揮,
命門火虛之五更洩,"然谷,太溪",針灸五輸穴應用發揮,
命門火虛之證，腎經熱病,然谷,針灸五輸穴應用發揮,
命門火衰、完谷不化之五更瀉,崑崙,針灸五輸穴應用發揮,
咯血及劇烈嘔吐,針刺湧泉,針灸五輸穴應用發揮,
咳喘,太淵,針灸五輸穴應用發揮,
咳喘及糖尿病,取腎關、土水、水金三穴同時進針,針灸五輸穴應用發揮,
咳嗽,肺俞配肺經之原穴太淵,針灸五輸穴應用發揮,
咳嗽,尺澤,針灸五輸穴應用發揮,
咳嗽、吐血,行間,針灸五輸穴應用發揮,
咳嗽暗啞,經渠,針灸五輸穴應用發揮,
咳嗽氣促,,針灸五輸穴應用發揮,
咳嗽風痰、偏正頭痛、兩乳氣痛,太淵配列缺,針灸五輸穴應用發揮,
咳嗽，日久不愈，呼吸短促，動則氣喘，腰膝酸軟,復溜、尺澤,針灸五輸穴應用發揮,
咳嗽，痰出不爽，動則氣促，間或咯血、口乾咽燥或聲音嘶啞，腰膝酸軟，消瘦，骨蒸潮熱，盜汗遺精，顴紅，舌紅少苔，脈細數,肺腎兩虛（陰虧）相關穴位,針灸五輸穴應用發揮,
咳逆,經渠,針灸五輸穴應用發揮,
咽喉、齒、耳等處疾病,陽溪,針灸五輸穴應用發揮,
咽喉炎,少商、商陽,針灸五輸穴應用發揮,
咽喉炎及扁桃體炎,合穴,針灸五輸穴應用發揮,
咽喉牙齦腫痛,小海,針灸五輸穴應用發揮,
咽喉疾病,二間配合谷、少商,針灸五輸穴應用發揮,
咽喉痛,後溪,針灸五輸穴應用發揮,
咽喉腫痛,少澤,針灸五輸穴應用發揮,
咽喉腫痛、急性扁桃體炎、感冒,合谷、少商,針灸五輸穴應用發揮,
咽乾,,針灸五輸穴應用發揮,
哮喘,少陽部位視青筋放血,針灸五輸穴應用發揮,
哮喘,合谷、內關,針灸五輸穴應用發揮,
善噫，疝氣疼痛,陷谷,針灸五輸穴應用發揮,
喉痛,太沖穴,針灸五輸穴應用發揮,
喉痛,太沖,針灸五輸穴應用發揮,
喉痛、喉腫、頷腫,商陽配少商點刺出血少許,針灸五輸穴應用發揮,
喘咳,肺經之經穴經渠,針灸五輸穴應用發揮,
喘咳,經渠,針灸五輸穴應用發揮,
喘咳,經渠,針灸五輸穴應用發揮,
喘咳寒熱,經穴,針灸五輸穴應用發揮,
喘咳寒熱,經穴,針灸五輸穴應用發揮,
喘咳寒熱,經渠,針灸五輸穴應用發揮,
喘息氣粗、胸滿、仰息、幹嘔、胸脅肩背痛,尺澤穴,針灸五輸穴應用發揮,
喜靜惡聞聲，數欠,內庭,針灸五輸穴應用發揮,
四肢不溫,大都,針灸五輸穴應用發揮,
四肢不溫,大都,針灸五輸穴應用發揮,
四肢冷厥，傷寒,內庭（配太衝）,針灸五輸穴應用發揮,
四肢厥逆、久年腰痛、腎虛水腫,復溜穴,針灸五輸穴應用發揮,
四肢發生抽動，四肢痙攣緊張，生氣憂鬱而產生脅肋疼痛、脹滿等症狀,五行屬木的穴位,針灸五輸穴應用發揮,
四肢筋肉不利,陽陵泉,針灸五輸穴應用發揮,
四肢筋肉不利之運動系統障礙及病變,陽陵泉,針灸五輸穴應用發揮,
四肢筋肉不利之運動系統障礙，木不疏土、肝脾不和之證,陽陵泉,針灸五輸穴應用發揮,
四肢重痛,肺經輸穴太淵、脾輸太白,針灸五輸穴應用發揮,
四肢風溼病,腕骨,針灸五輸穴應用發揮,
四肢麻木,中渚,針灸五輸穴應用發揮,
回陽救逆，治療中風卒倒,中衝、關衝,針灸五輸穴應用發揮,
因血鈣降低所致的手足抽搐症,行間,針灸五輸穴應用發揮,
土氣不能升,太白,針灸五輸穴應用發揮,
土虛不能制水之風水證（腎炎）,建議穴位或對針,針灸五輸穴應用發揮,
坐骨痛及髖骨痛,商陽,針灸五輸穴應用發揮,
坐骨神經痛,少陽部位視青筋放血,針灸五輸穴應用發揮,
坐骨神經痛,大陵,針灸五輸穴應用發揮,
坐骨神經痛、大腿後正中央痛、胸悶、胸痛,內關配大陵,針灸五輸穴應用發揮,
坐骨神經痛（側部）,竅陰,針灸五輸穴應用發揮,
坐骨神經痛（後部）,至陰,針灸五輸穴應用發揮,
壽瘡,孔最及溫溜,針灸五輸穴應用發揮,
外壽,太陰部位視青筋放血,針灸五輸穴應用發揮,
外感傷寒身疼痛、發熱惡寒、無汗而喘、惡性感冒、肺炎、急性風溼及其他內臟性諸熱症、急性肝炎、急性腎炎、瘧疾之寒熱,後溪,針灸五輸穴應用發揮,
外感所致之氣喘咳嗽,經渠,針灸五輸穴應用發揮,
外感熱證,曲池,針灸五輸穴應用發揮,
外感病,"液門, 配合魚際",針灸五輸穴應用發揮,
外感病而兼有體重節痛或嘔吐腹瀉,太淵,針灸五輸穴應用發揮,
外感病邪熱極生風,大腸原穴合谷配合穴曲池，再配合膀胱經之合穴委中刺血,針灸五輸穴應用發揮,
外感風寒、風熱,取滎穴,針灸五輸穴應用發揮,
多發性神經根炎,視青筋放血,針灸五輸穴應用發揮,
多種風溼病,腕骨,針灸五輸穴應用發揮,
夜臥不安、手足躁擾,後溪,針灸五輸穴應用發揮,
夜眠多夢、睡而不寧,厲兌配隱白,針灸五輸穴應用發揮,
夜間磨牙,內庭（滎水穴）,針灸五輸穴應用發揮,
大便異常（便秘與溏瀉交替）,合谷,針灸五輸穴應用發揮,
大小腿,手經穴,針灸五輸穴應用發揮,
大腸經合谷穴疼痛,太沖,針灸五輸穴應用發揮,
大腸經合谷穴部位疼痛,與臍等距對側之太沖穴施治,針灸五輸穴應用發揮,
大腸經火熱病如牙痛等,二間,針灸五輸穴應用發揮,
大腸經火熱證，善治牙痛,二間,針灸五輸穴應用發揮,
大腸病變,卯時生人較易患，相關穴位未明確指定,針灸五輸穴應用發揮,
大腿痛、坐骨神經痛,手上合谷、後溪等穴,針灸五輸穴應用發揮,
大腿痛酸,支溝、外關,針灸五輸穴應用發揮,
太陽穴附近偏頭痛,陷谷（ST 43）,針灸五輸穴應用發揮,
失眠,竅陰,針灸五輸穴應用發揮,
失眠,竅陰,針灸五輸穴應用發揮,
失眠,心經神門,針灸五輸穴應用發揮,
失眠,,針灸五輸穴應用發揮,
失眠、多夢,合谷和太沖（開四關）,針灸五輸穴應用發揮,
失眠健忘,,針灸五輸穴應用發揮,
失眠多夢,竅陰配神門,針灸五輸穴應用發揮,
失眠多夢,內關、神門、足三里,針灸五輸穴應用發揮,
失眠癔病、腎氣奔豚、厥疝等症,曲澤,針灸五輸穴應用發揮,
失音,間使（心包經經穴）,針灸五輸穴應用發揮,
失音,間使,針灸五輸穴應用發揮,
失音,配大鼎,針灸五輸穴應用發揮,
失音、呃逆、咳喘,間使,針灸五輸穴應用發揮,
失音、癢疾,至陰,針灸五輸穴應用發揮,
失音（《百症賦》）、骨鯁於喉,間使,針灸五輸穴應用發揮,
頭暈,至陰、大敦,針灸五輸穴應用發揮,
頭暈,曲池,針灸五輸穴應用發揮,
頭暈目眩,合谷配風池,針灸五輸穴應用發揮,
頭暈目眩、癲癇以及思想不集中等症,合谷和太沖（開四關）,針灸五輸穴應用發揮,
頭暈目眩肝鬱風動之症為肝經之病,合谷配太沖,針灸五輸穴應用發揮,
頭暈眼花,,針灸五輸穴應用發揮,
頭暈眼花、腰痠背痛,復溜或三陰交,針灸五輸穴應用發揮,
頭暈額痛,足三里,針灸五輸穴應用發揮,
頭暈（肝經病）,合谷、曲池（大腸經）,針灸五輸穴應用發揮,
頭痛,少澤,針灸五輸穴應用發揮,
頭痛,後溪,針灸五輸穴應用發揮,
頭痛,束骨、通谷,針灸五輸穴應用發揮,
頭痛、牙痛、頸痛，眼充血、鼻充血,少海,針灸五輸穴應用發揮,
頭痛、目眩,臨泣配風池,針灸五輸穴應用發揮,
頭痛、目赤腫痛、眼皮下垂,液門配三間，再加刺陷谷穴治療眼皮下垂、張開無力效果極好,針灸五輸穴應用發揮,
頭痛、耳聾、耳鳴,行間,針灸五輸穴應用發揮,
頭痛如破、頭痛不可忍,京骨,針灸五輸穴應用發揮,
頭目耳痛,丘墟,針灸五輸穴應用發揮,
頭面耳目口鼻病,曲池合谷為之主,針灸五輸穴應用發揮,
頭面項腫，手膊疼痛不舉,陽穀,針灸五輸穴應用發揮,
頭頂痛,湧泉,針灸五輸穴應用發揮,
頭項強,後溪（配承漿）,針灸五輸穴應用發揮,
頭項強痛及後頭痛,後溪,針灸五輸穴應用發揮,
婦人乳腫疼,少澤,針灸五輸穴應用發揮,
婦人經痛、滯產及產婦宮縮無力,合谷,針灸五輸穴應用發揮,
婦人血蠱癥瘕,行間,針灸五輸穴應用發揮,
婦女月經過少或閉經，或崩漏等,,針灸五輸穴應用發揮,
婦女血崩及功能失調性子宮出血,隱白配大敦,針灸五輸穴應用發揮,
婦女通經,瀉合谷,針灸五輸穴應用發揮,
婦科疾病、泌尿系疾病、咽喉部疾病、心臟病等，如子宮充血、泌尿系感染（尿道炎、膀胱炎）、扁桃體炎、心肌炎,然谷穴,針灸五輸穴應用發揮,
婦科疾病（崩帶、癥瘕經閉、月經不順）,足三里與三陰交、陰陵泉、照海等並用,針灸五輸穴應用發揮,
婦科病（出血不止、腹脹、呼吸不便）,陰谷,針灸五輸穴應用發揮,
婦科病，腰、膝、足病,陰陵泉,針灸五輸穴應用發揮,
妊娠嘔吐,陽池（SJ4）,針灸五輸穴應用發揮,
"子宮下垂, 肝陽上亢之證",曲泉,針灸五輸穴應用發揮,
子宮位置異常,陽池（SJ4）,針灸五輸穴應用發揮,
子宮病,大陵,針灸五輸穴應用發揮,
子時鼻塞，呼吸不暢,太沖、合谷、丘墟（瀉膽經之火）,針灸五輸穴應用發揮,
子時（夜11~1點）發作之疾病,膽經輸穴足臨泣,針灸五輸穴應用發揮,
孕難胞衣不出,崑崙,針灸五輸穴應用發揮,
定喘,復溜（腎經經穴）、昆侖（膀胱經經穴）,針灸五輸穴應用發揮,
定喘,"復溜, 崑崙",針灸五輸穴應用發揮,
容易飢餓，吃飯總覺得不飽，口渴喜飲水，喝得很多也不能解渴,五行屬火的穴位 或 五行屬水的穴位,針灸五輸穴應用發揮,
寅時（夜3~5點）發作之疾病,肺經輸穴太淵,針灸五輸穴應用發揮,
寒熱咳嗽,經穴,針灸五輸穴應用發揮,
寒熱之病,經渠,針灸五輸穴應用發揮,
寒熱往來之瘧疾,陽陵泉,針灸五輸穴應用發揮,
寒瘧,內庭（配合谷）,針灸五輸穴應用發揮,
對側肩背痛,後溪,針灸五輸穴應用發揮,
壽漏、瘡壽漏出血、疥瘡生疣,陷谷,針灸五輸穴應用發揮,
小便不利,先針陰陵泉，然後瀉足三里,針灸五輸穴應用發揮,
小便不利,復溜,針灸五輸穴應用發揮,
小便不暢、尿急尿澀之症,肝經原穴太沖疏肝，配脾經之合穴陰陵泉健脾氣利水氣而能使小便通暢,針灸五輸穴應用發揮,
小便不通,陰陵泉配足三里尤佳,針灸五輸穴應用發揮,
小便太多或不通,五行屬水的穴位,針灸五輸穴應用發揮,
小便病,尺澤、列缺,針灸五輸穴應用發揮,
小便癃閉不通，水腫盈臍、腹水、遺尿不禁及腳氣等,陰陵泉配足三里,針灸五輸穴應用發揮,
小便赤澀,小海（配兌端）,針灸五輸穴應用發揮,
小兒口瘡及心悶瘡痍,勞宮,針灸五輸穴應用發揮,
小兒急性支氣管炎，大人感冒喘咳,經渠,針灸五輸穴應用發揮,
小兒急慢驚風,行間,針灸五輸穴應用發揮,
小兒驚風,少商配人中、湧泉,針灸五輸穴應用發揮,
小兒驚風,湧泉配人中、少商,針灸五輸穴應用發揮,
小兒抽搐、高熱,二間瀉血,針灸五輸穴應用發揮,
小兒破傷風,然谷穴配承山穴應用,針灸五輸穴應用發揮,
"小兒腹瀉, 成人急性腸炎發熱",商陽點刺出血,針灸五輸穴應用發揮,
小兒重症肺炎及小兒高熱,三商（少商、中商、老商）點刺,針灸五輸穴應用發揮,
小腸病變,未時生人易患，相關穴位未明確指定,針灸五輸穴應用發揮,
小腸經之顴面疼痛或顫抖,腕骨配太白穴,針灸五輸穴應用發揮,
小腸連臍痛,陰陵泉配湧泉,針灸五輸穴應用發揮,
